Title,Year,Age,IMDb,Rotten Tomatoes
Insatiable,2018,18,65.0,67
The Chalet,2018,18,70.0,67
We Bare Bears,2015,7,79.0,67
Gurren Lagann,2007,16,83.0,66
Friends from College,2017,18,69.0,66
Jericho,2006,16,73.0,66
Tidelands,2018,18,70.0,66
Dear White People,2017,18,62.0,66
Dare Me,2019,18,67.0,66
Ouran High School Host Club,2006,16,82.0,66
Scooby-Doo! Mystery Incorporated,2010,7,80.0,66
The Untamed,2019,16,90.0,66
Stranger,2017,18,86.0,66
El Chapo,2017,18,78.0,66
Great News,2017,7,70.0,66
The Get Down,2016,16,83.0,66
The Naked Director,2019,18,77.0,66
Rise of Empires: Ottoman,2020,18,79.0,66
Club de Cuervos,2015,18,82.0,66
Toradora!,2008,16,80.0,66
The Baby-Sitters Club,2020,7,74.0,66
Carole & Tuesday,2019,7,79.0,66
Van Helsing,2016,16,62.0,66
The Night Shift,2014,16,74.0,66
"Pablo Escobar, The Drug Lord",2012,18,85.0,66
No Game No Life,2014,16,78.0,66
The King: Eternal Monarch,2020,16,83.0,66
Eden,2021,7,67.0,65
Stateless,2020,16,76.0,65
High Score,2020,16,74.0,65
Dash & Lily,2020,7,80.0,65
The Confession Tapes,2017,16,75.0,65
Black Butler,2008,18,78.0,65
The Rain,2018,18,63.0,65
Love Is Blind,2020,18,61.0,65
Trial by Media,2020,16,72.0,65
Wormwood,2017,16,70.0,65
Fear City: New York vs The Mafia,2020,18,71.0,65
Sorjonen,2016,18,76.0,65
Forged in Fire,2015,7,84.0,65
Baby,2018,18,68.0,65
The Disastrous Life of Saiki K.,2016,16,83.0,65
The Innocence Files,2020,18,80.0,65
BNA,2020,16,72.0,65
The Mist,2017,16,54.0,65
Halston,2021,18,75.0,65
Shaun the Sheep,2007,0,82.0,65
The Universe,2007,16,87.0,65
Self Made: Inspired by the Life of Madam C.J. Walker,2020,18,73.0,65
Shtisel,2013,16,86.0,65
The Boss Baby: Back in Business,2018,7,65.0,65
Puella Magi Madoka Magica,2011,16,83.0,65
Sinatra: All or Nothing at All,2015,7,80.0,65
Comedians in Cars Getting Coffee,2012,16,81.0,65
Senora Acero,2014,16,71.0,65
Dark Tourist,2018,18,75.0,65
Criminal: UK,2019,18,76.0,65
The Bureau of Magical Things,2018,7,67.0,65
Cleverman,2016,16,64.0,65
The Innocent Man,2018,18,73.0,65
Norsemen,2016,18,78.0,65
Pawn Stars,2009,7,72.0,65
Inside Bill's Brain: Decoding Bill Gates,2019,16,79.0,65
Damnation,2017,18,77.0,65
From Dusk Till Dawn: The Series,2014,18,69.0,64
Lovesick,2014,18,81.0,64
Flint Town,2018,18,79.0,64
Watership Down,2018,7,72.0,64
Undercover,2019,18,78.0,64
Rita,2012,16,81.0,64
Dorohedoro,2020,18,82.0,64
Maid Sama!,2010,16,80.0,64
Mystery Science Theater 3000: The Return,2017,16,80.0,64
Is It Wrong to Try to Pick Up Girls in a Dungeon?,2015,16,74.0,64
Surviving R. Kelly,2019,18,75.0,64
Saint Seiya,1986,7,85.0,64
Flaked,2016,18,72.0,64
Fate/Zero,2011,18,83.0,64
Crazyhead,2016,16,73.0,64
The Five,2016,7,76.0,64
H2O: Just Add Water,2006,0,72.0,64
Requiem,2018,18,65.0,64
The Valhalla Murders,2019,18,71.0,64
Cardcaptor Sakura,1998,7,80.0,64
Black Earth Rising,2018,16,75.0,64
W/ Bob & David,2015,18,74.0,64
The Trials of Gabriel Fernandez,2020,18,81.0,64
She's Gotta Have It,2017,18,68.0,64
Save Me,2018,16,77.0,64
The Curse of Oak Island,2014,7,70.0,64
Black,2017,16,80.0,63
Ajin,2016,18,76.0,63
Ink Master,2012,16,74.0,63
Goosebumps,1995,0,77.0,63
Vampire Knight,2008,16,74.0,63
Angel Beats!,2010,16,77.0,63
Green Eggs and Ham,2019,7,82.0,63
The Hollow,2018,7,72.0,63
Dogs,2018,0,81.0,63
November 13: Attack on Paris,2018,18,83.0,63
It's Bruno!,2019,7,75.0,63
Wanted,2016,16,77.0,63
Masum,2017,16,84.0,63
Cable Girls,2017,18,76.0,63
Lady Dynamite,2016,16,74.0,63
Power Rangers,1993,7,65.0,63
The Mire,2018,18,69.0,63
Tabula Rasa,2017,18,80.0,63
Clannad,2007,7,79.0,63
Ugly Delicious,2018,18,78.0,63
Fate/stay night [Unlimited Blade Works],2014,18,80.0,63
Man with a Plan,2016,7,70.0,63
Rilakkuma and Kaoru,2019,7,83.0,63
World War II In HD Colour,2009,7,87.0,63
Boys Over Flowers,2009,16,79.0,63
Meteor Garden,2018,16,81.0,63
"What's New, Scooby-Doo?",2002,7,73.0,63
Sick Note,2017,18,68.0,63
Big Time Rush,2009,0,64.0,63
Girlboss,2017,18,70.0,63
Quicksand,2019,18,75.0,63
Rotten,2018,18,72.0,63
The Irregulars,2021,18,59.0,63
College Romance,2018,18,88.0,63
Elite Short Stories: Carla Samuel,2021,18,70.0,63
Bard of Blood,2019,18,69.0,63
Charmed,2018,16,46.0,62
The New Legends of Monkey,2018,7,65.0,62
"The Mind, Explained",2019,16,80.0,62
Fast & Furious Spy Racers,2019,7,55.0,62
Occupied,2015,16,77.0,62
The Magic School Bus,1994,0,78.0,62
Toast of London,2013,16,82.0,62
Patriot Act with Hasan Minhaj,2018,18,83.0,62
Greatest Events of World War II in Colour,2019,16,87.0,62
Offspring,2010,16,83.0,62
Blown Away,2019,7,71.0,62
60 Days In,2016,16,77.0,62
Trese,2021,18,71.0,62
Hot Girls Wanted: Turned On,2017,18,66.0,62
The Heirs,2013,16,75.0,62
The Curious Creations of Christine McConnell,2018,7,78.0,62
Alexa & Katie,2018,0,75.0,62
Sailor Moon Crystal,2014,16,80.0,62
La Reina del Sur,2011,18,80.0,62
Pine Gap,2018,16,72.0,62
Suburra: Blood on Rome,2017,18,79.0,62
Taco Chronicles,2019,18,79.0,62
She,2020,18,65.0,62
Between,2015,16,60.0,62
Velvet,2014,16,81.0,62
Bobby Kennedy for President,2018,16,82.0,62
Durarara!!,2010,16,79.0,62
Hostages,2013,16,67.0,62
Rhythm + Flow,2019,18,77.0,62
Blue Exorcist,2011,16,74.0,62
L.A.'s Finest,2019,16,60.0,62
Thomas & Friends,1984,0,66.0,62
The Protector,2018,18,67.0,61
Unsolved Mysteries,1987,7,82.0,61
