Title,Year,Age,IMDb,Rotten Tomatoes
"the mind, explained",2019,16,80.0,62
fast & furious spy racers,2019,7,55.0,62
occupied,2015,16,77.0,62
the magic school bus,1994,0,78.0,62
toast of london,2013,16,82.0,62
patriot act with hasan minhaj,2018,18,83.0,62
greatest events of world war ii in colour,2019,16,87.0,62
offspring,2010,16,83.0,62
blown away,2019,7,71.0,62
60 days in,2016,16,77.0,62
trese,2021,18,71.0,62
hot girls wanted: turned on,2017,18,66.0,62
the heirs,2013,16,75.0,62
the curious creations of christine mcconnell,2018,7,78.0,62
alexa & katie,2018,0,75.0,62
sailor moon crystal,2014,16,80.0,62
la reina del sur,2011,18,80.0,62
pine gap,2018,16,72.0,62
suburra: blood on rome,2017,18,79.0,62
taco chronicles,2019,18,79.0,62
she,2020,18,65.0,62
between,2015,16,60.0,62
velvet,2014,16,81.0,62
bobby kennedy for president,2018,16,82.0,62
durarara!!,2010,16,79.0,62
hostages,2013,16,67.0,62
rhythm + flow,2019,18,77.0,62
blue exorcist,2011,16,74.0,62
l.a.'s finest,2019,16,60.0,62
thomas & friends,1984,0,66.0,62
the protector,2018,18,67.0,61
unsolved mysteries,1987,7,82.0,61
too hot to handle,2020,18,46.0,61
are you the one?,2014,16,65.0,61
little things,2016,18,83.0,61
still game,2002,16,88.0,61
transformers: prime,2010,7,79.0,61
henry danger,2014,0,57.0,61
tidying up with marie kondo,2019,7,66.0,61
nightflyers,2018,18,59.0,61
love 101,2020,18,75.0,61
car masters: rust to riches,2018,7,88.0,61
what / if,2019,18,63.0,61
total drama island,2007,7,72.0,61
roman empire,2016,16,70.0,61
deadwind,2018,18,72.0,61
people just do nothing,2014,18,85.0,61
b: the beginning,2018,18,72.0,61
somebody feed phil,2018,16,82.0,61
girl from nowhere,2018,18,77.0,61
cocaine coast,2018,18,79.0,61
the liberator,2020,7,76.0,61
the irregular at magic high school,2014,16,72.0,61
hap and leonard,2016,18,77.0,61
dark desire,2020,18,65.0,61
seis manos,2019,18,72.0,61
control z,2020,18,69.0,61
the house of flowers,2018,18,76.0,61
america's next top model,2003,7,55.0,61
tribes of europa,2021,18,68.0,61
somos.,2021,18,72.0,61
the great heist,2020,18,73.0,61
the one,2021,18,66.0,61
carmen sandiego,2019,7,79.0,61
the chef show,2019,18,82.0,61
traitors,2019,18,66.0,61
wet hot american summer: ten years later,2017,16,69.0,61
the neighbor,2019,18,66.0,60
billy on the street,2011,16,78.0,60
october faction,2020,18,62.0,60
start-up,2020,16,81.0,60
night on earth,2020,7,82.0,60
dota: dragon's blood,2021,18,80.0,60
the break,2016,18,76.0,60
the letter for the king,2020,7,59.0,60
osmosis,2019,16,59.0,60
another life,2019,18,50.0,60
ju-on: origins,2020,18,61.0,60
diagnosis,2019,18,77.0,60
the eddy,2020,18,72.0,60
magi,2012,16,78.0,60
elite short stories: guzmán caye rebe,2021,18,75.0,60
memories of the alhambra,2018,16,78.0,60
pacific rim: the black,2021,16,71.0,60
v wars,2019,18,61.0,60
the windsors,2016,18,71.0,60
the sons of sam: a descent into darkness,2021,18,70.0,60
sunderland 'til i die,2018,18,81.0,60
rebellion,2016,16,72.0,60
the a list,2018,7,55.0,60
tales of the city,2019,16,74.0,60
disjointed,2017,18,68.0,60
gentefied,2020,16,74.0,60
wanderlust,2018,16,71.0,60
murder among the mormons,2021,16,70.0,60
home for christmas,2019,18,77.0,60
paradise pd,2018,18,69.0,60
the bachelorette,2003,16,34.0,60
cold case files,1999,18,81.0,60
little witch academia,2017,7,79.0,60
el marginal,2016,18,82.0,60
teasing master takagi-san,2018,7,77.0,60
kakegurui,2017,16,72.0,60
attenborough's life in colour,2021,7,83.0,60
mortel,2019,18,66.0,60
kath & kim,2002,7,83.0,60
charité,2017,7,79.0,59
hoarders,2009,7,64.0,59
unsolved: the murders of tupac and the notorious b.i.g.,2018,18,79.0,59
my next guest needs no introduction with david letterman,2018,18,79.0,59
record of ragnarok,2021,18,62.0,59
white lines,2020,18,66.0,59
luis miguel: the series,2018,16,80.0,59
"love, chunibyo & other delusions",2012,16,74.0,59
kabaneri of the iron fortress,2016,18,72.0,59
"sister, sister",1994,7,63.0,59
greenhouse academy,2017,7,69.0,59
mr. iglesias,2019,16,71.0,59
hip hop evolution,2016,16,84.0,59
the game,2006,16,67.0,59
love on the spectrum,2019,0,85.0,59
greenleaf,2016,18,74.0,59
the final table,2018,0,77.0,59
life sentence,2018,16,66.0,59
dogs of berlin,2018,16,76.0,59
yasuke,2021,18,62.0,59
playing with fire,2019,18,59.0,59
"hello, my twenties!",2016,16,83.0,59
sam & cat,2013,7,57.0,59
girls from ipanema,2019,16,79.0,59
elite short stories: omar ander alexis,2021,18,74.0,59
megalobox,2018,16,78.0,59
k-on!,2009,16,77.0,59
the family,2019,16,64.0,59
the good cop,2018,16,71.0,58
this is a robbery: the world's biggest art heist,2021,18,64.0,58
chambers,2019,16,65.0,58
selena: the series,2020,7,68.0,58
baki,2018,18,67.0,58
cells at work!,2018,16,76.0,58
reckoning,2019,18,66.0,58
queen sono,2020,18,59.0,58
wwii in hd,2009,18,87.0,58
i am a killer,2018,18,74.0,58
one of us,2016,18,70.0,58
cuckoo,2012,16,72.0,58
march comes in like a lion,2016,7,84.0,58
börü,2018,18,82.0,58
elize matsunaga: once upon a crime,2021,18,58.0,58
invisible city,2021,0,74.0,58
high seas,2019,16,68.0,58
man down,2013,18,76.0,58
degrassi: next class,2016,7,69.0,58
the woods,2020,18,65.0,58
godzilla singular point,2021,16,66.0,58
my babysitter's a vampire,2011,7,71.0,58
typewriter,2019,18,65.0,57
sonic x,2003,16,62.0,57
monthly girls' nozaki-kun,2014,7,76.0,57
history of swear words,2021,18,64.0,57
dolly parton's heartstrings,2019,16,76.0,57
last chance u: basketball,2021,18,84.0,57
the next step,2013,0,62.0,57
midnight diner: tokyo stories,2016,16,84.0,57
immigration nation,2020,16,74.0,57
the barrier,2020,16,68.0,57
cannon busters,2019,18,68.0,57
something in the rain,2018,7,81.0,57
haters back off,2016,7,60.0,57
young wallander,2020,18,68.0,57
toy boy,2019,18,64.0,57
jack whitehall: travels with my father,2017,18,77.0,57
sofia the first,2013,0,69.0,57
the joel mchale show with joel mchale,2018,18,72.0,57
america's book of secrets,2012,7,68.0,57
kiss me first,2018,18,63.0,57
a very secret service,2015,18,78.0,57
scissor seven,2018,7,83.0,57
summertime,2020,18,55.0,57
the k2,2016,16,78.0,57
the king's avatar,2017,7,77.0,57
the twelve,2019,16,75.0,57
vanished 46,2016,16,84.0,57
valor,2017,16,60.0,57
